交易類型,行政區,交易日期,地址,建物型態,移轉層次,總樓層,房型,總坪數,成交總價(萬),車位總價(萬),每坪單價(萬),含車位,車位類別,成交建案名稱,備註
預售屋,楠梓區,2025-12-25,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),三層,20,2房2廳2衛,30.32,1143.0,201.0,31.07,是,坡道平面,遠雄一靚,
預售屋,楠梓區,2025-12-25,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),二層,20,2房2廳2衛,30.32,1127.0,201.0,30.54,是,坡道平面,遠雄一靚,
預售屋,楠梓區,2025-12-26,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),三層,20,2房2廳2衛,29.42,1090.0,191.0,30.56,是,坡道平面,遠雄一靚,
預售屋,楠梓區,2025-12-29,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),二層,20,3房2廳2衛,38.96,1463.0,181.0,32.91,是,坡道平面,遠雄一靚,
預售屋,楠梓區,2025-12-30,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),二層,20,2房2廳2衛,30.66,1130.0,181.0,30.95,是,坡道平面,遠雄一靚,
預售屋,楠梓區,2025-12-31,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),六層,20,2房2廳2衛,30.63,1172.0,191.0,32.03,是,坡道平面,遠雄一靚,
預售屋,楠梓區,2026-01-03,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),十層,20,3房2廳2衛,43.16,1915.0,221.0,39.25,是,坡道平面,遠雄一靚,含冷氣交易總價含下列非屬預售屋價格之費用:傢俱設備費；
預售屋,楠梓區,2026-01-03,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),六層,20,3房2廳2衛,50.84,1942.0,432.0,29.7,是,坡道平面,遠雄一靚,此客戶於115.1.10加購1車位
預售屋,楠梓區,2026-01-08,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),二層,20,2房2廳2衛,30.77,1098.0,181.0,29.8,是,坡道平面,遠雄一靚,
預售屋,楠梓區,2026-01-11,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),五層,20,2房2廳2衛,33.7,1323.0,191.0,33.59,是,坡道平面,遠雄一靚,
預售屋,楠梓區,2026-01-17,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),三層,20,2房2廳2衛,30.63,1127.0,181.0,30.88,是,坡道平面,遠雄一靚,
預售屋,楠梓區,2026-01-21,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),十層,20,2房2廳2衛,33.52,1332.0,211.0,33.44,是,坡道平面,遠雄一靚,
預售屋,楠梓區,2026-01-22,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),四層,20,2房2廳2衛,33.52,1243.0,191.0,31.38,是,坡道平面,遠雄一靚,
預售屋,楠梓區,2026-01-23,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),四層,20,2房2廳2衛,29.42,1114.0,191.0,31.37,是,坡道平面,遠雄一靚,含冷氣交易總價含下列非屬預售屋價格之費用:傢俱設備費；
預售屋,楠梓區,2026-01-24,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),二層,20,2房2廳2衛,30.64,1132.0,191.0,30.71,是,坡道平面,遠雄一靚,
預售屋,楠梓區,2026-01-24,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),四層,20,2房2廳2衛,30.32,1137.0,191.0,31.2,是,坡道平面,遠雄一靚,
預售屋,楠梓區,2026-01-24,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),二層,20,3房2廳2衛,38.79,1476.0,201.0,32.87,是,坡道平面,遠雄一靚,
預售屋,楠梓區,2026-01-24,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),五層,20,2房2廳2衛,30.32,1154.0,191.0,31.76,是,坡道平面,遠雄一靚,
預售屋,楠梓區,2026-01-24,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),三層,20,2房2廳2衛,33.84,1279.0,181.0,32.45,是,坡道平面,遠雄一靚,
預售屋,楠梓區,2026-01-31,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),一層,20,0房0廳1衛,56.39,2245.0,191.0,36.42,是,坡道平面,遠雄一靚,
預售屋,楠梓區,2026-02-06,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),四層,20,2房2廳2衛,30.63,1155.0,191.0,31.47,是,坡道平面,遠雄一靚,含冷氣交易總價含下列非屬預售屋價格之費用:傢俱設備費；
預售屋,楠梓區,2026-02-07,高雄市楠梓區大學二十三街及二十六街口,住宅大樓(11層含以上有電梯),二層,20,3房2廳2衛,40.9,1627.0,201.0,34.87,是,坡道平面,遠雄一靚,含冷氣交易總價含下列非屬預售屋價格之費用:傢俱設備費；
預售屋,三民區,2025-11-29,高雄市三民區九如三路,住宅大樓(11層含以上有電梯),十一層,15,3房2廳2衛,45.85,2285.0,232.0,44.78,是,坡道平面,遠雄沐蘊,交易總價含下列非屬預售屋價格之費用:歐德裝修商品券.禮券費:420000元
預售屋,三民區,2025-12-18,高雄市三民區九如三路,住宅大樓(11層含以上有電梯),九層,15,2房2廳1衛,37.56,1822.0,212.0,42.86,是,坡道平面,遠雄沐蘊,
預售屋,三民區,2025-12-31,高雄市三民區九如三路,住宅大樓(11層含以上有電梯),十二層,15,2房2廳1衛,30.19,1694.0,0.0,56.11,否,,遠雄沐蘊,含冷氣交易總價含下列非屬預售屋價格之費用:傢俱設備費；歐德裝修商品券費:300000元
預售屋,三民區,2026-01-30,高雄市三民區九如三路,住宅大樓(11層含以上有電梯),十三層,15,3房2廳2衛,48.11,2470.0,242.0,46.31,是,坡道平面,遠雄沐蘊,含冷氣交易總價含下列非屬預售屋價格之費用:傢俱設備費；
預售屋,三民區,2025-11-13,高雄市三民區九如一路A03棟F16樓,住宅大樓(11層含以上有電梯),十六層,27,3房2廳2衛,39.98,1870.0,210.0,41.52,是,坡道平面,遠雄峰蘊,含冷氣交易總價含下列非屬預售屋價格之費用:傢俱設備費；
預售屋,三民區,2025-12-13,高雄市三民區九如一路A03棟F19樓,住宅大樓(11層含以上有電梯),十九層,27,3房2廳2衛,39.98,1872.0,199.0,41.85,是,坡道平面,遠雄峰蘊,
預售屋,三民區,2025-12-13,高雄市三民區九如一路A06棟F25樓,住宅大樓(11層含以上有電梯),二十五層,27,2房1廳1衛,30.84,1500.0,199.0,42.19,是,坡道平面,遠雄峰蘊,交易總價含下列非屬預售屋價格之費用:歐德裝修商品券費:150000元
預售屋,三民區,2025-12-13,高雄市三民區九如一路A05棟F08樓,住宅大樓(11層含以上有電梯),八層,27,3房2廳2衛,48.42,2090.0,210.0,38.83,是,坡道平面,遠雄峰蘊,交易總價含下列非屬預售屋價格之費用:歐德裝修商品券費:650000元
預售屋,三民區,2026-01-17,高雄市三民區九如一路B10棟F21樓,住宅大樓(11層含以上有電梯),二十一層,27,3房2廳2衛,49.38,2300.0,220.0,42.12,是,坡道平面,遠雄峰蘊,
預售屋,三民區,2026-01-23,高雄市三民區九如一路B09棟F21樓,住宅大樓(11層含以上有電梯),二十一層,27,3房2廳2衛,43.2,1995.0,200.0,41.55,是,坡道平面,遠雄峰蘊,
